name,category,official_url,official_evidence,not_proven,fit,confidence,status,notes
Outside,outdoor/active-lifestyle publisher,https://mediakit.outsideinc.com/p/1,"Official media kit describes outdoor brands, active-lifestyle audiences, media, experiences, events, mapping, and newsletter inventory.",Audience claims do not prove third-party list rental or individual-level targeting.,"Outdoor gear, travel, fitness, wellness, and enthusiast offers.",high,current,RAW_OFFICIAL_FETCHES/outside_media_kit.html
FLYING Magazine,aviation publisher/lead-generation media,https://www.flyingmag.com/advertising-page/,"Official advertising page describes qualified-lead generation, aviation branded content, sponsorships, video, podcasts, web, social, and audience properties.",Lead-generation claims require campaign-level definition and validation; no raw-list rental claim.,"Aviation, aerospace, pilots, flight schools, and specialized B2B/enthusiast offers.",high,current,RAW_OFFICIAL_FETCHES/flying_advertising.html
Farm and Dairy,rural/agriculture publisher,https://www.farmanddairy.com/advertise,"Official advertising page describes print, online, classifieds, auction coverage, and subscription access to rural agricultural audiences.",Regional reach and publication audience do not prove raw list rental or performance.,"Agriculture, equipment, rural services, auctions, livestock, and specialty catalog offers.",high,current,RAW_OFFICIAL_FETCHES/farm_and_dairy_advertise.html
NRA Publications / American Rifleman,enthusiast publisher,https://www.americanrifleman.org/advertising/,"Official advertising page describes firearm, shooting, hunting, and Second Amendment publication inventory with sales contacts.",Inventory/rates require direct inquiry; no raw-list rental claim.,"Firearms, shooting, hunting, outdoor, and enthusiast offers subject to platform/offer review.",high,current,RAW_OFFICIAL_FETCHES/american_rifleman_advertising.html
NRA Family,enthusiast publisher,https://www.nrafamily.org/advertising/,Official advertising page describes the NRA Family publication advertising path and sales contacts.,No public rates or raw-list rental claim.,"Family, outdoor, shooting-sports, and membership-adjacent offers subject to clearance.",high,current,RAW_OFFICIAL_FETCHES/nra_family_advertising.html
Healthline Media,health publisher/advertising network,https://www.healthlinemedia.com/advertise,"Official page describes affiliate, digital, programmatic, and newsletter advertising, plus a published $25,000 minimum investment and restricted pricing models.","High budget gate; health claims, targeting, and affiliate approvals require additional review.","Health, wellness, medical, pharmaceutical, hospital, and health-service campaigns.",high,current,RAW_OFFICIAL_FETCHES/healthline_advertise.html
People Inc.,consumer publisher portfolio,https://www.people.inc/advertising,"Official page describes consumer brands, content solutions, media planning/buying, commerce, licensing, and direct advertising with language about consumer action.",Publisher group access is negotiated; no raw-list rental claim.,"Consumer product, food, home, travel, lifestyle, entertainment, and commerce campaigns.",high,current,RAW_OFFICIAL_FETCHES/people_inc_advertising.html
MailCon,email conference/exhibitor discovery,https://mailcon.com/sponsors-and-exhibitors/,"Official page lists email sponsors/exhibitors, speakers, attendees, sponsorship packages, and networking access.","Event participation is discovery infrastructure, not inventory or endorsement.","Find email publishers, deliverability vendors, media buyers, and list/data operators.",high,current,RAW_OFFICIAL_FETCHES/mailcon_sponsors.html
Affiliate Summit,affiliate/performance conference,https://www.affiliatesummit.com/,"Official site describes events connecting affiliates, advertisers, ecommerce sellers, networks, publishers, and technology providers.","Event access does not prove any exhibitor’s consent, quality, or list inventory.","Relationship-building with performance publishers, affiliates, networks, and media buyers.",high,current,RAW_OFFICIAL_FETCHES/affiliate_summit.html
LeadsCon,lead-generation conference/community,https://www.leadscon.com/event/lead-to-customer-conference-2026/,"Official event page describes brands, agencies, technology platforms, suppliers, networking, and lead-generation ecosystem access.",Conference presence is not a quality certification.,"Discover lead-gen, media, data, and performance partners.",high,current,RAW_OFFICIAL_FETCHES/leadscon_2026.html
Email Innovations World,email conference/community,https://emailinnovationsworld.com/,"Official site and partner pages describe email suppliers, sponsorship, exhibiting, networking, and lead-generation tools; current page material includes 2025 references.",Verify next event date and current partner status before relying operationally.,"Email vendor, publisher, data, and deliverability relationship discovery.",medium,current-recheck-date,RAW_OFFICIAL_FETCHES/email_innovations_world.html
SparkLoop,newsletter recommendation/referral platform,https://sparkloop.app/,"Official site describes newsletter recommendations, publisher partnerships, paid recommendations, referral programs, and quality-subscriber acquisition.",Recommendation acquisition is not a transferable email list or permission to send unrelated promotions.,Grow a first-party newsletter audience through publisher-to-publisher partnerships.,high,current,RAW_OFFICIAL_FETCHES/sparkloop.html
